OBJECTID,CSA2010,age24_10,age24_15,age24_16,age24_17,age24_18,age24_19,CSA2020,age24_21,age24_22,Shape__Area,Shape__Length
14,Downtown/Seton Hill,20.5553831833695,19.668526974463,17.6750833730348,18.47543242,17.4088485372532,17.57766418,Downtown/Seton Hill,16.48272553,15.0550795593635,20736554.4064941,21565.859394559
15,Edmondson Village,11.2151898734177,10.1307189542484,9.77490361895287,9.105392157,8.35002503755633,7.19076006,Edmondson Village,5.086042065,4.95415180845644,23563061.0443115,21504.551357829
16,Fells Point,11.3176236309326,5.74784980071324,6.29972752043597,4.916431517,5.37176896074885,6.404105768,Fells Point,7.742214533,8.95020188425303,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,10.701594070464,9.37156668863986,8.25602968460111,7.680189051,8.10884353741496,8.571697403,Forest Park/Walbrook,5.843101894,5.90738849165815,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,9.30669169907469,7.45750953867499,7.49072633720235,6.428302124,6.62335204693118,6.467919637,Glen-Fallstaff,7.347335376,7.81567489114659,46995477.4781494,48549.0046179292
19,Greater Charles Village/Barclay,33.8661460557623,30.2971732302489,30.0756887677869,29.57393484,29.2294906802801,26.34289919,Greater Charles Village/Barclay,28.88093818,26.401209015047,27051213.4559937,26454.2692113332
20,Greater Govans,10.0271510158225,11.4662702099981,9.62531064805964,7.664335664,7.42281382880384,6.585574456,Greater Govans,7.667226559,8.452853219408,22698495.7178955,22982.125714974
21,Greater Mondawmin,15.5438747049989,19.2481688927187,17.5197057277982,17.16360436,16.1205766710353,16.17435557,Greater Mondawmin,13.7712109,13.0699088145897,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,6.50671004473363,9.13385826771654,10.1863836396583,10.09836066,10.4219691895512,10.49550776,Greater Roland Park/Poplar Hill,8.671952428,8.11671763506626,56688145.1790161,39862.7497953117
23,Greater Rosemont,11.0389947556986,11.0357622672894,10.4680543857538,10.75051879,9.66506630086877,8.514624124,Greater Rosemont,9.742056075,9.28928625549326,42204384.5406494,32559.0762211492
24,Greenmount East,10.8137829912023,9.50461578468339,8.26801517067004,7.831402012,6.83500793231094,5.690622495,Oliver/Johnson Square,5.680493087,5.64648117839607,19072287.8240967,20797.4734578598
25,Hamilton,8.39101676665128,7.9409802031586,7.42861392028554,6.77196019,6.59405793880121,6.412142802,Hamilton,7.107029863,8.02337518755429,45191100.5593872,27712.1110915054
26,Harbor East/Little Italy,9.83909746624746,10.7104984093319,9.87480162228884,9.802886308,9.35695799323113,7.040137369,Harbor East/Little Italy,6.302048166,5.69620253164557,10215859.0836182,18552.4075815937
27,Harford/Echodale,9.85806758121029,7.20375633263314,6.32125665062072,6.927748172,7.04739512436579,7.101395579,Hamilton Hills,6.659253768,7.61515824875383,65360039.1698608,40019.1854001996
28,Highlandtown,10.551724137931,9.11205363250787,8.35862068965517,7.09322145,5.92652185572539,7.316098081,Highlandtown,4.934081713,4.51205362898028,11684191.1186523,14976.1238513698
29,Howard Park/West Arlington,9.26147337441368,6.63318487633848,6.93775472397184,8.360583297,9.14070216395797,11.54760856,Howard Park/West Arlington,11.56144034,12.1901165654244,63262430.0730591,36034.4984469719
30,Inner Harbor/Federal Hill,13.3099961104629,9.37593759375938,9.3491124260355,10.16263154,9.10395889996978,9.973894349,Inner Harbor/Federal Hill,8.420799615,7.42898180657517,24995836.2615967,43415.0595478862
31,Lauraville,8.93831988918765,8.13260390299665,9.03723142529113,8.863245765,9.03421678838106,8.813199379,Greater Lauraville,6.843767717,5.80068143100511,49665744.2354736,34419.676527973
32,Loch Raven,11.3709098034093,11.9214912026015,12.2779243623571,10.20157037,9.35074534926697,8.303434136,Loch Raven,6.328465283,7.31239669421488,44147812.3265381,29314.3346718286
33,Madison/East End,13.1474103585657,14.5613548028873,13.650657518582,12.54741314,13.3819196774693,13.02565459,Madison/East End,9.262037921,10.9104046242775,8897845.19189453,13120.1587193642
34,Medfield/Hampden/Woodberry/Remington,9.09822866344605,7.45167562621526,6.41493873704053,6.784534443,5.52519732847601,5.288168637,Hampden/Remington,4.808048389,4.37029197534707,62441489.2398071,43152.625699222
35,Midtown,22.6031957390146,18.3622189291927,17.0954511558538,15.80147203,14.9322719393978,13.69221026,Midtown,14.08469055,13.1636799680234,23823949.9294434,25020.0969698082
36,Midway/Coldstream,11.2531172069825,10.4638734501924,7.16747070985527,8.658576582,9.32493647110816,10.30107279,Midway/Coldstream,14.33795712,14.3009747629857,17884471.2862549,22767.8274161904
37,Morrell Park/Violetville,8.56760374832664,5.61510974987238,5.14293173214985,5.977551553,5.85219457296486,5.791014382,Morrell Park/Violetville,5.807098959,4.85665663044901,67470845.9901123,44412.7451303421
38,Mount Washington/Coldspring,4.19891640866873,3.44760420724581,2.90116046418567,3.03030303,3.07541625857002,2.414059482,Mount Washington/Coldspring,4.107308048,4.0644452581472,56943058.6497192,38539.7661484899
39,North Baltimore/Guilford/Homeland,28.1894182317911,24.6075104951406,24.4838952177182,24.35615666,25.1037934368424,25.83835398,North Baltimore/Guilford/Homeland,26.61407964,25.710615960239,74923987.6937256,42904.2221443544
40,Northwood,24.7130925914799,26.2021358192224,26.9794381697075,27.68213431,26.899678604224,26.82677568,Northwood,26.6700808,24.1471571906355,52743271.7706299,38889.8945908863
41,Oldtown/Middle East,12.284203173336,13.4194938072159,12.6109139307897,11.70572092,10.0763682647433,9.042553191,Oldtown/Middle East,9.632297512,8.72777017783858,24585968.2341919,23866.3281788863
42,Orangeville/East Highlandtown,10.3493593253751,6.92607003891051,6.53453689167975,6.472612294,6.37858149365899,5.383104126,Greektown/Bayview,4.214213083,4.16110639330341,89894372.2113037,47825.8629266244
43,Patterson Park North & East,11.595298645955,9.27614311368974,8.84979886820754,7.449209932,7.22076788830715,6.564551422,Patterson Park North & East,5.713336655,4.93192910351914,14507643.2044067,21786.3746601014
44,Penn North/Reservoir Hill,10.1365328920149,9.08661119515885,8.23310843844725,8.231620778,8.83062085593731,8.92599464,Penn North/Reservoir Hill,8.687320345,8.82039249146758,41059796.6773071,29078.8384985548
45,Pimlico/Arlington/Hilltop,9.66486120514556,10.0034228991956,10.8468730144322,9.688712272,9.43396226415094,6.875390056,Pimlico/Arlington/Hilltop,6.346916697,6.55898723125614,30400962.0054932,24725.9340693613
46,Poppleton/The Terraces/Hollins Market,10.5190719622493,11.2286411716843,9.63855421686747,9.040132396,8.33703868385949,6.476151316,Poppleton/The Terraces/Hollins Market,5.878661088,8.16869300911854,9302012.99926758,12334.0275347411
47,Sandtown-Winchester/Harlem Park,11.5265843179377,10.729475447867,9.57475440721303,9.110875492,8.4455712248455,7.528336999,Sandtown-Winchester/Harlem Park,5.967342054,5.72951365756163,23672092.8682861,20987.1433066354
48,South Baltimore,10.3652825476116,6.12935042975905,5.54573875220878,5.444047292,4.99390986601705,4.61806954,South Baltimore,5.046826223,6.06544293695132,46353935.4255981,68440.02582664
49,Southeastern,10.3993610223642,6.1973849185026,5.48340548340548,5.197814931,5.42510121457489,5.917067868,Southeastern,6.319862425,8.17592331547787,111251478.472229,102291.480547698
50,Southern Park Heights,11.13369467028,11.2517580872011,10.0497512437811,7.946635731,6.53089887640449,7.684344641,Southern Park Heights,6.034831916,7.56886638633828,27876227.5908203,24052.221372193
51,Southwest Baltimore,10.9980430528376,8.36785901849799,8.16569388564629,7.730214332,8.30340038314176,7.732058653,Southwest Baltimore,7.315272754,7.28796918661733,37766068.8365479,28355.563581391
52,The Waverlies,9.29962595124468,9.13288866085172,8.1389515926762,8.17313505,7.69991348411815,5.695466873,The Waverlies,4.171494786,2.63018065887354,20383750.5437012,18733.826879757
53,Upton/Druid Heights,12.0769677045059,11.7664581471552,12.0366757705813,11.42997062,10.1685985247629,8.818474758,Upton/Druid Heights,10.0958324,9.51460725247243,16976622.3380127,19389.3078212169
54,Washington Village/Pigtown,11.3392694893694,11.8802619270346,11.6831306990881,9.069035721,7.4356846473029,7.567927988,Pigtown/Carroll Park,4.245848314,7.80662794670311,39343262.0375977,36962.2600947677
55,Westport/Mount Winans/Lakeland,10.8863604438826,8.19695664656905,9.1441111923921,7.442550037,7.35733375255463,7.035335129,Westport/Mount Winans/Lakeland,8.060492672,7.73789366745682,45494092.9501953,42573.1244161851
