OBJECTID,CSA2010,age64_10,age64_15,age64_16,age64_17,age64_18,age64_19,CSA2020,age64_21,Shape__Area,Shape__Length
22,Greater Roland Park/Poplar Hill,56.1745967195337,49.8687664041995,49.3269479679006,49.7704918,47.8499665103817,48.8429077,Greater Roland Park/Poplar Hill,45.65163528,56688145.1790161,39862.7497953117
23,Greater Rosemont,49.9506724128979,52.6069989124176,53.5555288172302,54.23679963,55.315500685871,58.13391346,Greater Rosemont,58.37009346,42204384.5406494,32559.0762211492
24,Greenmount East,51.5518084066471,53.0750227538682,53.4260429835651,51.16515981,53.7281861448968,53.45979161,Oliver/Johnson Square,51.99067133,19072287.8240967,20797.4734578598
25,Hamilton,57.3604060913706,57.848298361385,58.7819750148721,58.32251551,57.7017114914425,56.65608302,Hamilton,55.12771047,45191100.5593872,27712.1110915054
26,Harbor East/Little Italy,59.5894211207694,61.3821138211382,62.8284253218127,61.98521647,61.9350985466852,61.81584031,Harbor East/Little Italy,66.17150574,10215859.0836182,18552.4075815937
27,Harford/Echodale,56.9808183383811,60.0518967008526,61.4263997973144,61.05465361,61.4342284370746,62.96776584,Hamilton Hills,58.75339758,65360039.1698608,40019.1854001996
28,Highlandtown,65.9586206896552,65.5903680394035,66.151724137931,68.25750623,71.1048538482166,72.16151386,Highlandtown,73.14971936,11684191.1186523,14976.1238513698
29,Howard Park/West Arlington,50.9059137312609,49.2466597176158,51.5190811411634,51.20636323,49.1424979797072,49.1500044,Howard Park/West Arlington,50.54093331,63262430.0730591,36034.4984469719
30,Inner Harbor/Federal Hill,66.6277712952159,67.5067506750675,69.2307692307692,68.90131724,67.4977334542157,67.12223587,Inner Harbor/Federal Hill,64.78647544,24995836.2615967,43415.0595478862
31,Lauraville,57.9076020532877,61.0190250673634,58.1105461702477,56.755872,56.8310494789529,55.71346892,Greater Lauraville,57.23657569,49665744.2354736,34419.676527973
32,Loch Raven,54.7449546077983,52.830846060043,51.9847552037526,53.25208016,53.3140322779352,56.80420297,Loch Raven,56.93697156,44147812.3265381,29314.3346718286
33,Madison/East End,47.487469476931,49.3892282065519,48.7993138936535,50.14413594,47.7438362536827,45.46416292,Madison/East End,48.27445096,8897845.19189453,13120.1587193642
34,Medfield/Hampden/Woodberry/Remington,61.4791810443984,64.3657783369553,65.7928840716305,66.40768384,68.0995749848208,68.08821738,Hampden/Remington,69.36180718,62441489.2398071,43152.625699222
35,Midtown,58.6750998668442,61.8710134656272,62.6895351727566,63.57715105,65.0831353919239,65.8391387,Midtown,67.28338762,23823949.9294434,25020.0969698082
