CSA2010,income_boolean,median_income,vehicle_boolean,percnt_no_vehicle,has_store,address_1,address_2,address_3,address_4,latitude_1,latitude_2,latitude_3,latitude_4,longitude_1,longitude_2,longitude_3,longitude_4,storename_1,storename_2,storename_3,storename_4,hfai15,hfai_category,hfai_boolean,number_criteria_met,priority_level
Dickeyville/Franklintown,1,37847.5316455696,1,34.0764331210191,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Low,1,3,Medium
Dorchester/Ashburton,1,45497.3494897959,1,30.4959630911188,1,"3601 W Cold Spring Ln, Baltimore, MD 21215",NA,NA,NA,39.335316,NA,NA,NA,-76.676006,NA,NA,NA,ALDI,NA,NA,NA,7.733333333,Low,1,4,High
Downtown/Seton Hill,0,57516.7307692307,1,39.1733333333333,1,"222 N Charles St, Baltimore, MD 21201",NA,NA,NA,39.291977,NA,NA,NA,-76.615734,NA,NA,NA,STREETS MARKET & CAFÉ,NA,NA,NA,8.931818182,Low,1,3,Medium
Edmondson Village,1,43809.8105726872,0,24.4014084507042,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.166666667,Low,1,2,Low
Fells Point,0,98981.9100642398,0,13.6,1,"711 S Central Ave, Baltimore, MD 21202",NA,NA,NA,39.284025,NA,NA,NA,-76.599392,NA,NA,NA,WHOLE FOODS,NA,NA,NA,11.25,Medium,0,1,Low
Forest Park/Walbrook,1,44764.3051643192,0,26.126999515269,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9375,Medium,0,1,Low
Glen-Fallstaff,1,42439.089123867,0,27.1147913622341,1,"6620 Reisterstown Rd, Baltimore, MD 21215","6836 Reisterstown Rd, Baltimore, MD 21215",NA,NA,39.355536,39.3598552,NA,NA,-76.707344,-76.7089507,NA,NA,GIANT,SAVE A LOT,NA,NA,9.145833333,Low,1,3,Medium
Greater Charles Village/Barclay,1,42852.4828244274,1,35.2413901556848,1,"400 E 29th St, Baltimore, MD 21218","3117 St Paul St, Baltimore, MD 21218","2401 N Charles St, Baltimore, MD 21218","2008 Maryland Ave, Baltimore, MD 21218",39.32377,39.326468,39.316712,39.312434,-76.61044,-76.6157618,-76.616296,-76.618406,DMG FOODS,Streets Market and Café,SAFEWAY,SAVE A LOT,10.87931034,Medium,0,3,Medium
Greater Govans,1,42666.7893700787,0,29.1110551498363,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.666666667,Medium,0,1,Low
Greater Mondawmin,1,36968.7842465753,1,36.8275438057178,1,"2000 Gwynns Falls Pkwy, Baltimore, MD 21216",NA,NA,NA,39.316925,NA,NA,NA,-76.652274,NA,NA,NA,SHOPPERS,NA,NA,NA,9.730769231,Medium,0,3,Medium
Greater Roland Park/Poplar Hill,0,117951.409574468,0,6.55161393416427,1,"5113 Roland Ave, Baltimore, MD 21210",NA,NA,NA,39.355974,NA,NA,NA,-76.634243,NA,NA,NA,EDDIE'S OF ROLAND PARK,NA,NA,NA,8.214285714,Low,1,2,Low
Greater Rosemont,1,36379.7664543524,1,37.0096352374397,1,"3427 Clifton Ave, Baltimore, MD 21216",NA,NA,NA,39.310148,NA,NA,NA,-76.675565,NA,NA,NA,SAVE A LOT,NA,NA,NA,7.512820513,Low,1,4,High
Greenmount East,1,27320.2109704641,1,53.4351145038167,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.18421053,Medium,0,2,Low
Hamilton,0,71690.8693790149,0,11.389884508164,1,"5950 Belair Rd, Baltimore, MD 21206",NA,NA,NA,39.347034,NA,NA,NA,-76.540628,NA,NA,NA,BIRITE,NA,NA,NA,7.961538462,Low,1,2,Low
Harbor East/Little Italy,1,44087.0202702702,1,40.3611738148984,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.39285714,Medium,0,2,Low
Harford/Echodale,0,56655.7760736196,0,10.6511557637105,1,"2905 Hamilton Ave, Baltimore, MD 21214",NA,NA,NA,39.352846,NA,NA,NA,-76.562981,NA,NA,NA,HARVEST FARE,NA,NA,NA,8.653846154,Low,1,2,Low
