OBJECTID,CSA2010,age65_10,age65_15,age65_16,age65_17,age65_18,age65_19,CSA2020,age65_21,age65_22,Shape__Area,Shape__Length
20,Greater Govans,12.77,13.1945734993496,15.0735996941311,15.5990676,16.0473285265298,15.40435237,Greater Govans,17.07341172,17.21086,22698495.7178955,22982.125714974
21,Greater Mondawmin,15.31,15.1658767772512,15.470310036784,15.99735945,16.6339012669287,17.09259874,Greater Mondawmin,17.10723768,20.77391,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,18.4,20.5905511811024,21.3564587108465,20.38032787,22.0093770931011,21.72610945,Greater Roland Park/Poplar Hill,19.67294351,20.90979,56688145.1790161,39862.7497953117
23,Greater Rosemont,12.87,13.1213613972235,12.3871976898087,11.58635001,11.6883859167809,11.20377085,Greater Rosemont,13.18130841,15.06289,42204384.5406494,32559.0762211492
24,Greenmount East,12.27,12.9371993238851,12.6169405815424,12.92499682,14.1591750396615,14.37349719,Oliver/Johnson Square,17.04147926,15.94108,19072287.8240967,20797.4734578598
25,Hamilton,10.85,9.77978794394602,8.66299821534801,9.086975335,10.3430391938949,11.96468675,Hamilton,14.49185894,17.255,45191100.5593872,27712.1110915054
26,Harbor East/Little Italy,6.6,5.95616825733475,6.52442250044084,8.342133052,9.63567589090185,12.23438506,Harbor East/Little Italy,12.60409633,11.98011,10215859.0836182,18552.4075815937
27,Harford/Echodale,10.2,11.4852341529717,12.1991385862681,12.25058867,12.5170152208885,11.80684204,Hamilton Hills,15.73387695,15.55462,65360039.1698608,40019.1854001996
28,Highlandtown,9.24,10.0013681762211,9.83448275862069,9.453258162,8.56798069187449,7.302771855,Highlandtown,8.2626289,6.793864,11684191.1186523,14976.1238513698
29,Howard Park/West Arlington,19.14,26.9686345115133,24.9258984809189,24.76358816,24.9169435215946,22.71646261,Howard Park/West Arlington,18.30292265,19.66836,63262430.0730591,36034.4984469719
30,Inner Harbor/Federal Hill,10.56,11.4911491149115,11.1168639053254,10.98682758,12.2317920822,12.5,Inner Harbor/Federal Hill,16.24068584,15.77561,24995836.2615967,43415.0595478862
31,Lauraville,10.59,12.0600963501266,12.9653928161391,15.46771422,13.9000574382538,15.23319448,Greater Lauraville,14.10059124,15.2385,49665744.2354736,34419.676527973
32,Loch Raven,11.78,13.5590267696417,13.5971855760774,14.81893824,15.4120980657878,14.9346489,Loch Raven,14.49526006,17.45455,44147812.3265381,29314.3346718286
33,Madison/East End,6.61,6.51027207107163,6.90394511149228,8.177818237,9.92401922778725,9.151018249,Madison/East End,8.757331878,10.52023,8897845.19189453,13120.1587193642
34,Medfield/Hampden/Woodberry/Remington,16.19,13.7081093446186,13.6486804901037,14.14413312,14.1955069823922,14.49372487,Hampden/Remington,15.72028145,16.23607,62441489.2398071,43152.625699222
35,Midtown,12.75,13.5558275884286,14.236887894606,14.77887058,14.6241253129614,15.68714376,Midtown,13.69381107,14.78249,23823949.9294434,25020.0969698082
36,Midway/Coldstream,12.34,12.9970072680633,15.4720882150241,16.95637914,16.7053364269141,16.5186296,Midway/Coldstream,13.00126103,13.11257,17884471.2862549,22767.8274161904
37,Morrell Park/Violetville,17.82,18.8999489535477,18.3265892181177,18.37640303,17.118919594848,17.13122057,Morrell Park/Violetville,21.02094569,20.78806,67470845.9901123,44412.7451303421
38,Mount Washington/Coldspring,16.14,17.2574990261005,18.4273709483794,18.52297813,20.6464250734573,20.81884898,Mount Washington/Coldspring,19.22294172,20.83486,56943058.6497192,38539.7661484899
39,North Baltimore/Guilford/Homeland,12.8,13.7500718845247,14.7747643555196,14.89997182,15.2533697321276,15.52802092,North Baltimore/Guilford/Homeland,14.85223405,15.66427,74923987.6937256,42904.2221443544
40,Northwood,12.99,14.3902295120656,14.323776426296,15.12940372,15.1859504132231,15.0968035,Northwood,15.68794811,16.93524,52743271.7706299,38889.8945908863
41,Oldtown/Middle East,11.87,13.2579429186861,12.8549245785271,12.2123707,9.56724649978786,12.73527005,Oldtown/Middle East,11.63414021,12.93206,24585968.2341919,23866.3281788863
42,Orangeville/East Highlandtown,12.2,12.3735408560311,10.6848508634223,10.28550172,11.3104744011272,12.77013752,Greektown/Bayview,11.0270026,13.7086,89894372.2113037,47825.8629266244
